aeon.pool.minergate.com:45690
arcticrise.com:9208
asicshack:3333
at01.supportxmr.com:3333
at01.supportxmr.com:443
at01.supportxmr.com:5555
at01.supportxmr.com:7777
at01.supportxmr.com:80
at01.supportxmr.com:8080
at01.supportxmr.com:9000
at02.supportxmr.com:3333
at02.supportxmr.com:443
at02.supportxmr.com:5555
at02.supportxmr.com:7777
at02.supportxmr.com:80
at02.supportxmr.com:8080
at02.supportxmr.com:9000
au.ltcrabbit.com:3336
aus01.supportxmr.com:3333
aus01.supportxmr.com:443
aus01.supportxmr.com:5555
aus01.supportxmr.com:7777
aus01.supportxmr.com:80
aus01.supportxmr.com:8080
aus01.supportxmr.com:9000
axiom.br.nicehash.com:3346
axiom.eu.nicehash.com:3346
axiom.hk.nicehash.com:3346
axiom.in.nicehash.com:3346
axiom.jp.nicehash.com:3346
axiom.LOCATION.nicehash.com:3346
axiom.usa.nicehash.com:3346
bcn.pool.minergate.com:45550
bitconnectpool.co:3333
blake256r14.br.nicehash.com:3350
blake256r14.eu.nicehash.com:3350
blake256r14.hk.nicehash.com:3350
blake256r14.in.nicehash.com:3350
blake256r14.jp.nicehash.com:3350
blake256r14.LOCATION.nicehash.com:3350
blake256r14.usa.nicehash.com:3350
blake256r8.br.nicehash.com:3349
blake256r8.eu.nicehash.com:3349
blake256r8.hk.nicehash.com:3349
blake256r8.in.nicehash.com:3349
blake256r8.jp.nicehash.com:3349
blake256r8.LOCATION.nicehash.com:3349
blake256r8.usa.nicehash.com:3349
blake256r8vnl.br.nicehash.com:3351
blake256r8vnl.eu.nicehash.com:3351
blake256r8vnl.hk.nicehash.com:3351
blake256r8vnl.in.nicehash.com:3351
blake256r8vnl.jp.nicehash.com:3351
blake256r8vnl.LOCATION.nicehash.com:3351
blake256r8vnl.usa.nicehash.com:3351
blake2s.LOCATION.nicehash.com:3361
ca01.supportxmr.com:3333
ca01.supportxmr.com:443
ca01.supportxmr.com:5555
ca01.supportxmr.com:7777
ca01.supportxmr.com:80
ca01.supportxmr.com:8080
ca01.supportxmr.com:9000
cn.ss.btc.com:1800
cn.ss.btc.com:3333
cn.ss.btc.com:443
cn.stratum.slushpool.com:3333
cn.stratum.slushpool.com:443
coins.arstechnica.com:3333
coinspool.cu.cc:7801
cryptonight.br.nicehash.com:3355
cryptonight.eu.nicehash.com:3355
cryptonight.hk.nicehash.com:3355
cryptonight.in.nicehash.com:3355
cryptonight.jp.nicehash.com:3355
cryptonight.LOCATION.nicehash.com:3355
cryptonight.usa.nicehash.com:3355
cure.cryptopools.com:3360
daggerhashimoto.br.nicehash.com:3353
daggerhashimoto.eu.nicehash.com:3353
daggerhashimoto.hk.nicehash.com:3353
daggerhashimoto.in.nicehash.com:3353
daggerhashimoto.jp.nicehash.com:3353
daggerhashimoto.LOCATION.nicehash.com:3353
daggerhashimoto.usa.nicehash.com:3353
dash.suprnova.cc:9991
dash80.suprnova.cc:443
dcr.coinmine.pl:2222
dcr.pool.mn:2256
dcr.pool.mn:4801
dcr.suprnova.cc:2252
dcr.suprnova.cc:2255
dcr.suprnova.cc:3252
dcr.suprnova.cc:3256
de.moriaxmr.com:3333
de.moriaxmr.com:5555
de.moriaxmr.com:7777
de.moriaxmr.com:9000
de01.supportxmr.com:3333
de01.supportxmr.com:443
de01.supportxmr.com:5555
de01.supportxmr.com:7777
de01.supportxmr.com:80
de01.supportxmr.com:8080
de01.supportxmr.com:9000
de02.supportxmr.com:3333
de02.supportxmr.com:443
de02.supportxmr.com:5555
de02.supportxmr.com:7777
de02.supportxmr.com:80
de02.supportxmr.com:8080
de02.supportxmr.com:9000
de03.supportxmr.com:3333
de03.supportxmr.com:443
de03.supportxmr.com:5555
de03.supportxmr.com:7777
de03.supportxmr.com:80
de03.supportxmr.com:8080
de03.supportxmr.com:9000
de2.moriaxmr.com:3333
de2.moriaxmr.com:5555
de2.moriaxmr.com:7777
de2.moriaxmr.com:9000
decred.br.nicehash.com:3354
decred.eu.nicehash.com:3354
decred.hk.nicehash.com:3354
decred.in.nicehash.com:3354
decred.jp.nicehash.com:3354
decred.LOCATION.nicehash.com:3354
decred.usa.nicehash.com:3354
doge.netcodepool.org:4093
dsh.pool.minergate.com:45720
equihash.br.nicehash.com:3357
equihash.eu.nicehash.com:3357
equihash.hk.nicehash.com:3357
equihash.in.nicehash.com:3357
equihash.jp.nicehash.com:3357
equihash.LOCATION.nicehash.com:3357
equihash.usa.nicehash.com:3357
errantshed.co.uk:9181
